#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        2.31        2.31           0
           2     2.30978     2.30989 7.61722e-05
           3     2.30914     2.30964 0.000211255
           4     2.30806     2.30925 0.000376471
           5     2.30656     2.30871 0.000567145
           6     2.30463     2.30803   0.0007802
           7     2.30227     2.30721  0.00101343
           8     2.29949     2.30624  0.00126517
           9     2.29628     2.30514  0.00153407
          10     2.29265     2.30389  0.00181896
          11      2.2886      2.3025  0.00211882
          12     2.28414     2.30097   0.0024327
          13     2.27926      2.2993  0.00275979
          14     2.27397     2.29749  0.00309954
          15     2.26826     2.29554  0.00345144
          16     2.26215     2.29345  0.00381496
          17     2.25562     2.29123  0.00418969
          18     2.24868     2.28886  0.00457527
          19     2.24135     2.28636  0.00497125
          20      2.2336     2.28373  0.00537725
          21     2.22546     2.28095  0.00579296
          22     2.21691     2.27804  0.00621807
          23     2.20797     2.27499  0.00665228
          24     2.19863     2.27181   0.0070953
          25      2.1889     2.26849  0.00754694
          26     2.17876     2.26504  0.00800701
          27     2.16823     2.26146  0.00847531
          28     2.15731     2.25774  0.00895163
          29     2.14601     2.25389  0.00943574
          30     2.13431      2.2499  0.00992741
          31     2.12223     2.24578   0.0104264
          32     2.10978     2.24153   0.0109326
          33     2.09694     2.23715   0.0114457
          34     2.08372     2.23264   0.0119656
          35     2.07013     2.22799   0.0124921
          36     2.05617     2.22322    0.013025
          37     2.04185     2.21832   0.0135641
          38     2.02716     2.21329   0.0141092
          39     2.01211     2.20813   0.0146601
          40     1.99671     2.20285   0.0152166
          41     1.98096     2.19743   0.0157786
          42     1.96487      2.1919   0.0163456
          43     1.94844     2.18623   0.0169177
          44     1.93168     2.18045   0.0174945
          45     1.91459     2.17454   0.0180758
          46     1.89719     2.16851   0.0186614
          47     1.87947     2.16236    0.019251
          48     1.86145     2.15609   0.0198444
          49     1.84314     2.14971   0.0204414
          50     1.82454      2.1432   0.0210417
          51     1.80566     2.13658    0.021645
          52     1.78651     2.12985   0.0222511
          53      1.7671     2.12301   0.0228597
          54     1.74744     2.11605   0.0234705
          55     1.72754     2.10899   0.0240833
          56     1.70742     2.10182   0.0246978
          57     1.68708     2.09454   0.0253136
          58     1.66654     2.08716   0.0259304
          59     1.64581     2.07968   0.0265481
          60     1.62489      2.0721   0.0271661
          61     1.60382     2.06442   0.0277843
          62     1.58259     2.05665   0.0284023
          63     1.56122     2.04879   0.0290197
          64     1.53973     2.04084   0.0296363
          65     1.51814     2.03279   0.0302517
          66     1.49645     2.02467   0.0308655
          67      1.4747     2.01646   0.0314774
          68     1.45288     2.00817   0.0320871
          69     1.43103     1.99981   0.0326941
          70     1.40915     1.99137   0.0332981
          71     1.38727     1.98286   0.0338987
          72      1.3654     1.97428   0.0344957
          73     1.34356     1.96564   0.0350885
          74     1.32177     1.95694   0.0356768
          75     1.30006     1.94818   0.0362602
          76     1.27843     1.93937   0.0368385
          77     1.25691     1.93051   0.0374111
          78     1.23551      1.9216   0.0379777
          79     1.21426     1.91265    0.038538
          80     1.19318     1.90365   0.0390915
          81     1.17228     1.89462    0.039638
          82     1.15159     1.88556    0.040177
          83     1.13111     1.87647   0.0407082
          84     1.11088     1.86736   0.0412312
          85     1.09091     1.85822   0.0417458
          86     1.07122     1.84907   0.0422515
          87     1.05182     1.83991   0.0427481
          88     1.03274     1.83074   0.0432351
          89     1.01399     1.82156   0.0437124
          90    0.995582     1.81238   0.0441797
          91    0.977542     1.80321   0.0446365
          92    0.959878     1.79404   0.0450828
          93    0.942607     1.78488   0.0455181
          94    0.925743     1.77574   0.0459423
          95    0.909298     1.76662   0.0463552
          96    0.893284     1.75753   0.0467565
          97    0.877714     1.74846    0.047146
          98    0.862599     1.73942   0.0475236
          99    0.847948     1.73041   0.0478891
         100     0.83377     1.72145   0.0482423
         101    0.820075     1.71252   0.0485831
         102     0.80687     1.70364   0.0489114
         103    0.794162     1.69481   0.0492271
         104    0.781955     1.68604   0.0495301
         105    0.770254     1.67731   0.0498204
         106    0.759064     1.66865   0.0500979
         107    0.748388     1.66005   0.0503625
         108    0.738228     1.65152   0.0506143
         109    0.728583     1.64305   0.0508533
         110    0.719456     1.63465   0.0510794
         111    0.710845     1.62633   0.0512928
         112    0.702749     1.61808   0.0514934
         113    0.695165     1.60992   0.0516814
         114    0.688092     1.60183   0.0518568
         115    0.681526     1.59383   0.0520197
         116    0.675462     1.58591   0.0521702
         117    0.669894     1.57808   0.0523084
         118    0.664818     1.57034   0.0524346
         119    0.660225     1.56269   0.0525488
         120     0.65611     1.55514   0.0526511
         121    0.652465     1.54768   0.0527419
         122    0.649281     1.54031   0.0528211
         123     0.64655     1.53305   0.0528891
         124    0.644263     1.52588   0.0529461
         125    0.642409     1.51881   0.0529921
         126    0.640978     1.51185   0.0530276
         127     0.63996     1.50498   0.0530526
         128    0.639344     1.49822   0.0530674
         129    0.639118     1.49156   0.0530722
         130    0.639271       1.485   0.0530674
         131     0.63979     1.47855   0.0530531
         132    0.640663      1.4722   0.0530295
         133    0.641878     1.46596    0.052997
         134    0.643424     1.45982   0.0529558
         135    0.645287     1.45379   0.0529061
         136    0.647454     1.44786   0.0528483
         137    0.649912     1.44203   0.0527825
         138    0.652648     1.43631   0.0527091
         139     0.65565      1.4307   0.0526282
         140    0.658904     1.42518   0.0525403
         141    0.662399     1.41977   0.0524454
         142    0.666119     1.41447   0.0523439
         143    0.670053     1.40926   0.0522361
         144    0.674189     1.40416   0.0521222
         145    0.678512     1.39915   0.0520024
         146     0.68301     1.39425   0.0518771
         147    0.687671     1.38944   0.0517464
         148    0.692482     1.38473   0.0516105
         149    0.697432     1.38012   0.0514699
         150    0.702508      1.3756   0.0513246
         151    0.707698     1.37118    0.051175
         152    0.712992     1.36685   0.0510212
         153    0.718377     1.36261   0.0508634
         154    0.723843     1.35846    0.050702
         155    0.729379      1.3544   0.0505371
         156    0.734975     1.35043   0.0503688
         157    0.740621     1.34655   0.0501976
         158    0.746307     1.34275   0.0500234
         159    0.752022     1.33903   0.0498466
         160    0.757757      1.3354   0.0496672
         161    0.763502     1.33185   0.0494856
         162    0.769251     1.32838   0.0493019
         163    0.774994     1.32498   0.0491161
         164    0.780726     1.32166   0.0489286
         165    0.786436     1.31842   0.0487395
         166    0.792118     1.31525   0.0485489
         167    0.797764     1.31215    0.048357
         168    0.803369     1.30912   0.0481639
         169    0.808925     1.30616   0.0479697
         170    0.814427     1.30327   0.0477747
         171    0.819869     1.30044   0.0475789
         172    0.825245     1.29768   0.0473824
         173    0.830551     1.29498   0.0471854
         174    0.835782     1.29234    0.046988
         175    0.840934     1.28976   0.0467902
         176    0.846002     1.28724   0.0465922
         177    0.850983     1.28477   0.0463941
         178    0.855874     1.28236    0.046196
         179    0.860671     1.28001    0.045998
         180    0.865372     1.27771   0.0458001
         181    0.869975     1.27545   0.0456024
         182    0.874476     1.27325    0.045405
         183    0.878875     1.27109    0.045208
         184     0.88317     1.26899   0.0450115
         185     0.88736     1.26692   0.0448154
         186    0.891443      1.2649   0.0446199
         187     0.89542     1.26293    0.044425
         188     0.89929     1.26099   0.0442308
         189    0.903053      1.2591   0.0440373
         190    0.906707     1.25725   0.0438446
         191    0.910253     1.25543   0.0436526
         192    0.913691     1.25365   0.0434616
         193    0.917022     1.25191   0.0432713
         194    0.920248      1.2502   0.0430821
         195     0.92337     1.24852   0.0428937
         196    0.926388     1.24688   0.0427063
         197    0.929304     1.24526     0.04252
         198    0.932119     1.24368   0.0423346
         199    0.934835     1.24213   0.0421503
         200    0.937454     1.24061   0.0419671
         201     0.93998     1.23911    0.041785
         202    0.942412     1.23764   0.0416039
         203    0.944754      1.2362    0.041424
         204    0.947007     1.23478   0.0412452
         205    0.949175     1.23339   0.0410675
         206    0.951258     1.23202    0.040891
         207     0.95326     1.23067   0.0407156
         208    0.955184     1.22935   0.0405414
         209    0.957033     1.22805   0.0403683
         210    0.958809     1.22676   0.0401965
         211    0.960517      1.2255   0.0400258
         212    0.962158     1.22426   0.0398562
         213    0.963736     1.22304   0.0396879
         214    0.965253     1.22183   0.0395207
         215    0.966712     1.22064   0.0393547
         216    0.968117     1.21948   0.0391898
         217    0.969471     1.21832   0.0390262
         218    0.970776     1.21719   0.0388637
         219    0.972036     1.21607   0.0387023
         220    0.973254     1.21497   0.0385421
         221    0.974433     1.21388   0.0383831
         222    0.975576      1.2128   0.0382252
         223    0.976686     1.21174   0.0380685
         224    0.977766      1.2107   0.0379128
         225    0.978817     1.20967   0.0377584
         226    0.979843     1.20865    0.037605
         227    0.980846     1.20765   0.0374527
         228     0.98183     1.20666   0.0373015
         229    0.982796     1.20568   0.0371514
         230    0.983748     1.20472   0.0370024
         231    0.984687     1.20376   0.0368545
         232    0.985616     1.20282   0.0367077
         233    0.986537     1.20189   0.0365618
         234    0.987453     1.20098   0.0364171
         235    0.988366     1.20007   0.0362734
         236    0.989278     1.19918   0.0361306
         237     0.99019      1.1983    0.035989
         238    0.991105     1.19743   0.0358483
         239    0.992025     1.19657   0.0357086
         240    0.992951     1.19572   0.0355699
         241    0.993886     1.19488   0.0354321
         242    0.994832     1.19406   0.0352954
         243    0.995791     1.19324   0.0351595
         244    0.996763     1.19243   0.0350247
         245    0.997752     1.19164   0.0348907
         246    0.998757     1.19086   0.0347577
         247    0.999779     1.19008   0.0346256
         248     1.00082     1.18932   0.0344944
         249     1.00188     1.18857   0.0343641
         250     1.00297     1.18782   0.0342346
         251     1.00408     1.18709   0.0341061
         252     1.00521     1.18637   0.0339783
         253     1.00637     1.18566   0.0338515
         254     1.00756     1.18496   0.0337255
         255     1.00877     1.18427   0.0336003
         256     1.01002     1.18359   0.0334759
         257     1.01129     1.18292   0.0333524
         258     1.01259     1.18226   0.0332297
         259     1.01393     1.18161   0.0331077
         260      1.0153     1.18097   0.0329866
         261      1.0167     1.18034   0.0328662
         262     1.01813     1.17972   0.0327466
         263      1.0196     1.17911   0.0326277
         264     1.02111     1.17851   0.0325096
         265     1.02265     1.17792   0.0323923
         266     1.02423     1.17734   0.0322756
         267     1.02585     1.17678   0.0321597
         268     1.02751     1.17622   0.0320446
         269      1.0292     1.17567   0.0319301
         270     1.03093     1.17514   0.0318163
         271      1.0327     1.17461   0.0317033
         272      1.0345      1.1741   0.0315909
         273     1.03635     1.17359   0.0314792
         274     1.03823      1.1731   0.0313682
         275     1.04015     1.17261   0.0312579
         276     1.04211     1.17214   0.0311482
         277      1.0441     1.17168   0.0310392
         278     1.04614     1.17123   0.0309308
         279     1.04821     1.17079   0.0308231
         280     1.05031     1.17036    0.030716
         281     1.05246     1.16994   0.0306096
         282     1.05464     1.16953   0.0305037
         283     1.05685     1.16913   0.0303985
         284      1.0591     1.16874    0.030294
         285     1.06138     1.16837     0.03019
         286     1.06369       1.168   0.0300867
         287     1.06603     1.16764    0.029984
         288     1.06841      1.1673   0.0298818
         289     1.07081     1.16697   0.0297803
         290     1.07324     1.16664   0.0296794
         291      1.0757     1.16633    0.029579
         292     1.07818     1.16603   0.0294792
         293     1.08069     1.16574   0.0293801
         294     1.08322     1.16546   0.0292815
         295     1.08577     1.16519   0.0291835
         296     1.08835     1.16493    0.029086
         297     1.09094     1.16468   0.0289892
         298     1.09355     1.16444   0.0288929
         299     1.09617     1.16421   0.0287971
         300     1.09881     1.16399    0.028702
         301     1.10146     1.16379   0.0286074
         302     1.10412     1.16359   0.0285133
         303     1.10679      1.1634   0.0284198
         304     1.10947     1.16322   0.0283269
         305     1.11216     1.16306   0.0282345
         306     1.11484      1.1629   0.0281427
         307     1.11753     1.16275   0.0280514
         308     1.12023     1.16261   0.0279607
         309     1.12292     1.16248   0.0278705
         310     1.12561     1.16236   0.0277808
         311     1.12829     1.16225   0.0276917
         312     1.13097     1.16215   0.0276032
         313     1.13364     1.16206   0.0275151
         314     1.13631     1.16198   0.0274276
         315     1.13896     1.16191   0.0273406
         316      1.1416     1.16184   0.0272542
         317     1.14423     1.16179   0.0271683
         318     1.14684     1.16174   0.0270829
         319     1.14943      1.1617    0.026998
         320     1.15201     1.16167   0.0269137
         321     1.15457     1.16165   0.0268298
         322     1.15711     1.16164   0.0267465
         323     1.15962     1.16163   0.0266637
         324     1.16211     1.16163   0.0265814
         325     1.16457     1.16164   0.0264996
         326     1.16701     1.16166   0.0264183
         327     1.16942     1.16168   0.0263375
         328     1.17179     1.16171   0.0262573
         329     1.17414     1.16175   0.0261775
