#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.36472    -3.36472           0
           2    -3.36467    -3.36469 1.90871e-05
           3    -3.36461    -3.36467 2.54223e-05
           4    -3.36456    -3.36464 3.01235e-05
           5     -3.3645    -3.36461 3.40637e-05
           6    -3.36445    -3.36458 3.75435e-05
           7     -3.3644    -3.36456 4.07076e-05
           8    -3.36434    -3.36453 4.36395e-05
           9    -3.36429     -3.3645 4.63927e-05
          10    -3.36423    -3.36448 4.90046e-05
          11    -3.36418    -3.36445 5.15025e-05
          12    -3.36412    -3.36442 5.39072e-05
          13    -3.36407     -3.3644  5.6235e-05
          14    -3.36401    -3.36437 5.84995e-05
          15    -3.36396    -3.36434 6.07114e-05
          16     -3.3639    -3.36431 6.28801e-05
          17    -3.36384    -3.36429 6.50134e-05
          18    -3.36378    -3.36426 6.71183e-05
          19    -3.36372    -3.36423 6.92008e-05
          20    -3.36366     -3.3642  7.1266e-05
          21     -3.3636    -3.36417 7.33189e-05
          22    -3.36354    -3.36414 7.53638e-05
          23    -3.36348    -3.36412 7.74044e-05
          24    -3.36342    -3.36409 7.94444e-05
          25     -3.3632    -3.36405 8.37381e-05
          26    -3.36299    -3.36401 8.99307e-05
          27    -3.36292    -3.36397  9.5183e-05
          28    -3.36286    -3.36393 9.97511e-05
          29    -3.36279    -3.36389 0.000103801
          30    -3.36257    -3.36385 0.000109319
          31     -3.3622    -3.36379 0.000118054
          32    -3.36197    -3.36374  0.00012732
          33     -3.3619    -3.36368 0.000135069
          34    -3.36137    -3.36361 0.000147155
          35      -3.361    -3.36354 0.000160811
          36    -3.36092    -3.36347 0.000172007
          37    -3.36084    -3.36339 0.000181406
          38    -3.36046    -3.36332 0.000192401
          39    -3.36022    -3.36324 0.000203164
          40    -3.35984    -3.36315 0.000215137
          41    -3.35975    -3.36307  0.00022532
          42    -3.35951    -3.36298 0.000235341
          43    -3.35897    -3.36289 0.000247698
          44    -3.35858    -3.36279 0.000260759
          45    -3.35848     -3.3627 0.000271991
          46    -3.35778    -3.36259 0.000286298
          47    -3.35738    -3.36248 0.000300881
          48    -3.35713    -3.36237 0.000314562
          49    -3.35658    -3.36225 0.000329597
          50    -3.35617    -3.36213 0.000344701
          51    -3.35591    -3.36201 0.000358838
          52     -3.3552    -3.36188  0.00037505
          53    -3.35479    -3.36174 0.000391094
          54    -3.35452    -3.36161 0.000406062
          55     -3.3541    -3.36147 0.000420978
          56    -3.35323    -3.36133 0.000438429
          57    -3.35281    -3.36118 0.000455481
          58    -3.35239    -3.36102 0.000472171
          59    -3.35181    -3.36087 0.000489336
          60    -3.35107     -3.3607 0.000507681
          61    -3.35064    -3.36054 0.000525489
          62    -3.35035    -3.36038 0.000542082
          63    -3.34961     -3.3602 0.000559744
          64    -3.34902    -3.36003 0.000577629
          65    -3.34858    -3.35985 0.000595011
          66    -3.34798    -3.35967   0.0006126
          67    -3.34753    -3.35949  0.00062971
          68    -3.34707    -3.35931 0.000646389
          69    -3.34692    -3.35913 0.000661493
          70    -3.34676    -3.35895 0.000675227
          71     -3.3463    -3.35878  0.00068883
          72    -3.34614     -3.3586 0.000701262
          73    -3.34537    -3.35842 0.000714684
          74     -3.3449    -3.35824  0.00072799
          75    -3.34443    -3.35805 0.000741187
          76    -3.34411    -3.35787   0.0007538
          77    -3.34333    -3.35768 0.000767294
          78     -3.3427    -3.35749  0.00078112
          79    -3.34192    -3.35729 0.000795708
          80    -3.34159    -3.35709 0.000809618
          81     -3.3408    -3.35689 0.000824243
          82    -3.34031    -3.35669 0.000838636
          83    -3.33967    -3.35649  0.00085324
          84    -3.33933    -3.35628 0.000867181
          85    -3.33899    -3.35608  0.00088052
          86    -3.33865    -3.35588 0.000893309
          87      -3.338    -3.35567 0.000906364
          88     -3.3378    -3.35547  0.00091852
          89    -3.33746    -3.35526 0.000930219
          90    -3.33696    -3.35506  0.00094185
          91    -3.33677    -3.35486 0.000952717
          92    -3.33657    -3.35466 0.000962885
          93    -3.33667    -3.35447 0.000971762
          94    -3.33693    -3.35428 0.000979166
          95    -3.33644    -3.35409 0.000986712
          96    -3.33624    -3.35391 0.000993802
          97     -3.3359    -3.35372  0.00100075
          98    -3.33586    -3.35354    0.001007
          99    -3.33552    -3.35336  0.00101314
         100    -3.33518    -3.35318  0.00101919
         101      -3.335      -3.353  0.00102487
         102    -3.33512    -3.35282   0.0010297
         103    -3.33449    -3.35264  0.00103497
         104    -3.33446    -3.35247  0.00103968
         105    -3.33399    -3.35229  0.00104456
         106    -3.33367    -3.35212  0.00104937
         107    -3.33366    -3.35194  0.00105364
         108     -3.3332    -3.35177  0.00105807
         109     -3.3329     -3.3516  0.00106243
         110    -3.33306    -3.35143  0.00106606
         111    -3.33322    -3.35126    0.001069
         112    -3.33324     -3.3511   0.0010715
         113    -3.33341    -3.35095  0.00107339
         114    -3.33299    -3.35079  0.00107547
         115    -3.33288    -3.35063  0.00107734
         116    -3.33308    -3.35048  0.00107863
         117    -3.33252    -3.35033  0.00108028
         118    -3.33274    -3.35018  0.00108136
         119     -3.3328    -3.35003  0.00108209
         120    -3.33273    -3.34989  0.00108264
         121    -3.33266    -3.34975  0.00108301
         122    -3.33245    -3.34961  0.00108337
